"Answer Reply","Customer Question","Product","Version"
"a. Go to any report (Summary / Activity / Performance).
b. Click the Excel button at the top right.
c. File will download automatically.","How do I export reports to Excel","IPBX / VoIP","1.1.7"
"a. Open the report.
b. Click CSV.
c. Save the file.","How do I export reports to CSV","IPBX / VoIP","1.1.7"
"a. Ensure an Agent Name is selected.
b. Expand the Date Range to include desired days.
c. Confirm that the agent performed activities like login/logout, break, or status change.","Why is the Activity Report empty","IPBX / VoIP","1.1.7"
"a. Open Summary.
b. Look at the Session Time field.","How do I check an agent’s total session time","IPBX / VoIP","1.1.7"
"a. Open Summary report.
b. Check the Wrapup Time column.","How do I view the total wrap-up time for an agent","IPBX / VoIP","1.1.7"
"a. Use the Search bar above the table.
b. Enter the agent’s username.
c. The table will filter automatically.","How do I search for a specific agent in the list","IPBX / VoIP","1.1.7"
"a. Use the Items per page dropdown.
b. Select the desired number.","How can I see only 15, 30, or more rows in a list","IPBX / VoIP","1.1.7"
"a. Use the arrow buttons at the right of the table.
b. Move forward or backward as needed.","How do I navigate to the next page of reports","IPBX / VoIP","1.1.7"
"a. Go to Campaigns.
b. Open the desired campaign.
c. Navigate to Agents tab.
d. Add agents from the list.
e. Save configuration.","How do I assign an agent to a campaign","IPBX / VoIP","1.1.7"
"a. Go to Call Reports.
b. Filter by Agent Name or Extension.
c. Apply date range.
d. View the results.","How do I check call details for a specific agent","IPBX / VoIP","1.1.7"
"a. Go to Call Reports.
b. Use the “Type” filter.
c. Select Inbound, Outbound, or Both.","How do I see inbound vs outbound calls","IPBX / VoIP","1.1.7"
"a. Go to User Activity Logs.
b. Enter date range.
c. View all login, logout, and updates.","How do I view user activity logs","IPBX / VoIP","1.1.7"
"a. Go to Breaks Report.
b. Filter by agent or date.
c. Review break duration.","How do I check how long an agent was on break","IPBX / VoIP","1.1.7"
"1. Open the Nebro Mail Admin Panel.

2. On the left side menu, scroll down and click on Spam Filter.

3. You will see two options: Policy and Whitelist/Blacklist.

4. Click on Whitelist/Blacklist.

5. On the right-hand corner, click Create.

6. A new interface will open.

7. You will see three fields. In the Email / Admin (Sender) field, enter the email address or domain that you want to whitelist or blacklist.

8. Below that, choose whether you want to Whitelist or Blacklist the entered email/domain.

9. Click Save.

Your email or domain will now be added to the whitelist or blacklist.","How to Add a Whitelist or Blacklist Email in the Nebro Admin Panel","Mail Server","3.9.0"
"a. Open Summary.
b. View Total Calls column.","How do I check how many calls an agent handled","IPBX / VoIP","1.1.7"
"a. Agent may not have logged out.
b. Session continues until logout time is recorded.
c. Review login/logout logs from Activity section.","Why is an agent’s session time extremely long","IPBX / VoIP","1.1.7"
"a. Go to Agents.
b. Select the agent.
c. Click Delete or Disable.
d. Confirm action.","How do I remove an agent from the system","IPBX / VoIP","1.1.7"
"a. Go to User Management.
b. Select agent.
c. Click Force Logout.","How do I manually logout an agent","IPBX / VoIP","1.1.7"
"a. Go to Breaks.
b. Click Add Break Type.
c. Enter name & description.
d. Save.","How do I add a new break category","IPBX / VoIP","1.1.7"
"a. Go to Performance section.
b. Filter by date or agent.
c. View breaks, call count, etc.","How do I access agent performance metrics","IPBX / VoIP","1.1.7"
"a. The agent may not be assigned.
b. The campaign might be inactive.
c. Data may not exist for the selected date range.","Why doesn’t the campaign show in Summary","IPBX / VoIP","1.1.7"
"a. Open System Reports.
b. Select the desired log category.
c. Search or filter.","How do I see system logs","IPBX / VoIP","1.1.7"
"a. In any report, choose today’s date in the Date Range.
b. Click Search.","How do I see calls for only today","IPBX / VoIP","1.1.7"
"a. Open Call Reports.
b. Find the call.
c. Click Download Recording (if enabled).","How do I download call recordings","IPBX / VoIP","1.1.7"
"a. Go to Summary.
b. Check if Logout Time is empty.
c. If empty, the agent is still logged in.","How do I check whether an agent is currently online","IPBX / VoIP","1.1.7"
"1. Open the Terminal.

2. Login to the Firewall using your admin credentials.

3. After logging in, open the extra rules file by running the following command:

/nebero/etc/extra_rules

4. In the file, scroll to the last entry.

5. Below the last entry, add a comment line using # (as shown below).
This helps you separate your custom rules from the system rules.

6. Under the comment line, add your network bypass rules.
Example:


iptables -I FORWARD -s 172.16.200.0/24 -j ACCEPT
iptables -I FORWARD -d 172.16.200.0/24 -j ACCEPT
iptables -t nat -I PREROUTING -d 172.16.200.0/24 -j ACCEPT
iptables -t nat -I PREROUTING -s 172.16.200.0/24 -j ACCEPT

7. Save the file and exit.","How to Add a Permanent Bypass in the Firewall from the Backend","Firewall","11"
"a. Open Activity Report.
b. Filter for today.
c. Count the number of login entries.","How do I retrieve the total number of agents logged in for the day","IPBX / VoIP","1.1.7"
"a. Go to Campaigns.
b. Choose campaign.
c. Click Edit.
d. Modify fields.
e. Save.","How do I edit an existing campaign","IPBX / VoIP","1.1.7"
"a. Select the campaign.
b. Click Pause or toggle Status.
c. Save.","How can I pause a running campaign","IPBX / VoIP","1.1.7"
"a. Open Agent.
b. Select the extension.
c. Update the change.
d. Save.","How do I reassign an extension to a different agent","IPBX / VoIP","1.1.7"
"a. Go to Extensions.
b. Enable Call Recording toggle.
c. Save.","How do I enable call recording for an extension","IPBX / VoIP","1.1.7"
"1. Open the Terminal.

2. To view the default routing table, type:

ip r

3. If you want to check the route for ISP 2, use:

ip r show table 12

4. If you want to check the route for ISP 3, use:

ip r show table 13
","How to Check Firewall Routes","Firewall","11"
"a. Open Campaigns.
b. Select the campaign.
c. Click Delete.
d. Confirm.","How do I delete a campaign","IPBX / VoIP","1.1.7"
"a. Go to Call Routing.
b. Select the routing plan.
c. Edit rules.
d. Save.","How do I update call routing rules","IPBX / VoIP","1.1.7"
"a. Go to Call Reports.
b. Review the Caller ID column.","How do I check caller ID information","IPBX / VoIP","1.1.7"
"| Step  | IP Type          | How to Get It                         | Purpose        |                                                 
| ----     | ------------------ | --------------------------------------  | ------------------ | 
| 1   | Device IP        | ipconfig / ifconfig                 | Confirms local network working|
| 2   |  Gateway IP   | Shown in `ipconfig`              | Test local routing to firewall                   |
| 3    |Public IP (WAN)| From firewall or `whatismyip.com`   | Check if ISP is up                                           |
","Explain about ip","Firewall","11"
"a. Go to Queue Settings.
b. Find Timeout field.
c. Set duration.
d. Save.","How do I adjust queue timeout","IPBX / VoIP","1.1.7"
"a. Go to Queue Settings.
b. Select strategy (Ring-all, Random, Fewest calls).
c. Save.","How do I set agent ringing strategy","IPBX / VoIP","1.1.7"
"a. Go to Applications → IVR.
b. Create menu.
c. Add keypress options.
d. Link destinations.
e. Save.","How do I configure an IVR menu","IPBX / VoIP","1.1.7"
"a. Go to Call Reports.
b. Enter extension number.
c. Apply filter.","How do I view calls made from a specific extension","IPBX / VoIP","1.1.7"
"1. Open the Terminal.

2. Login to the Firewall using your credentials.

3. To Check Live Netifyd Logs
Run the following command:

tail -f /var/log/netifyd.log

4. This will show live, real-time logs continuously.

5. To Check Previous (Old) Logs

less /var/log/netifyd.log

6. This will open the full log file, and you can scroll through older logs.
","How to Check Netifyd Logs in the Backend","Firewall","11"
"1. Search for a Specific IP

grep ""192.168.1.10"" /var/log/netifyd.log

2. Search for a Specific Device / MAC Address

grep ""AA:BB:CC:DD:EE:FF"" /var/log/netifyd.log

3. Search for Specific Application (e.g., YouTube, Facebook)

grep -i ""youtube"" /var/log/netifyd.log
grep -i ""facebook"" /var/log/netifyd.log

4. Search for Logs of a Specific Date

grep ""2025-11-25"" /var/log/netifyd.log

5. View Live Logs and Filter by Keyword

tail -f /var/log/netifyd.log | grep ""192.168.1.10""

6. Search for Errors in Netifyd

grep -i ""error"" /var/log/netifyd.log

7. Count How Many Times an IP Appears

grep -c ""192.168.1.10"" /var/log/netifyd.log
","Useful Netifyd Log Filters (Grep Commands)","Firewall","11"
"a. Go to Call Routing → Blacklist.
b. Add the number.
c. Save.","How do I block a phone number","IPBX / VoIP","1.1.7"
"a. Go to System Reports → Storage.
b. Check usage percentage.","How do I check if recording storage is full","IPBX / VoIP","1.1.7"
"a. Open Call Reports.
b. Use Call Status filter (Answered, Rejected).
c. Apply.","How do I see answered vs rejected calls","IPBX / VoIP","1.1.7"
"1. Open the Terminal.

2. Login to the Firewall using your credentials.

To Check Live dnsmasq Logs
use

tail -f /var/log/dnsmasq.log
This will show the live, real-time dnsmasq logs.

2. To Check Old / Previous dnsmasq Logs

less /var/log/dnsmasq.log

This will open the full dnsmasq log file.
Inside the file, you can scroll up/down to see all previous logs.

3. To Search Inside the Log File (while using less)

grep ""DHCP"" /var/log/dnsmasq.log
grep ""192.168.1.10"" /var/log/dnsmasq.log


","How to Check Dnsmasq Logs in the Backend (Correct for Your Firewall)","Firewall","11"
"DHCP is a network protocol that automatically assigns IP addresses  to devices in a network. It removes the need to assign the IP addresses manually. Ensures no IP conflicts by giving unique IPs to each device.
It uses a process called DORA for assigning IP:

D – Discover (client searches for DHCP server)

O – Offer (server offers an IP)

R – Request (client requests that IP)

A – Acknowledge (server confirms assignment)

Most commonly used in home networks, offices, and enterprise networks for easy management.","Explain DHCP","Firewall","11"
"a. Go to Extension Registrations.
b. Look under the Status column.
c. If it shows “Registered(UDP)”, the extension is registered.","How can I check if an extension is registered","IPBX / VoIP","1.1.7"
"a. Go to Extension Registrations.
b. Check the Agent column.
c. Device model and version details are shown.","How do I check the device used by the agent for registration","IPBX / VoIP","1.1.7"
"a. Open Extension Registrations.
b. Look under Network IP column.
c. IP shown reflects the current client device IP.","How can I verify the network IP of an extension","IPBX / VoIP","1.1.7"
"a. View the Ping status column.
b. If value says Reachable, extension is responding.
c. Otherwise, reboot or re-register.","How do I test if the extension is reachable","IPBX / VoIP","1.1.7"
"a. Go to Extension Registrations.
b. Look at Ping time column.
c. Ping time in milliseconds indicates network latency.","How do I view ping time for an extension","IPBX / VoIP","1.1.7"
"Open terminal → login firewall → type:

ethtool eth1
","How to check WAN link status?","Firewall","11"
"Open terminal → login firewall → type:

ethtool eth0
","How to check LAN link status","Firewall","11"
"a. Go to Extension Registrations.
b. Find the extension.
c. Click the Reboot icon at the far right.
d. Wait for registration refresh.","How do I reboot the extension registration","IPBX / VoIP","1.1.7"
"Open terminal → login firewall → type:

systemctl status firewall
","How to check firewall service status?","Firewall","11"
"Open terminal → login firewall → type:

systemctl restart firewall
","How to restart firewall service?","Firewall","11"
"Open terminal → login firewall → type:

systemctl restart dnsmasq
","How to restart dnsmasq service?","Firewall","11"
"Open terminal → login firewall → type:

uptime
","How to check system uptime?","Firewall","11"
"Open terminal → login firewall → type:

top","How to monitor real-time system usage?","Firewall","11"
"Open terminal → login firewall → type:

free -m
","How to check memory usage?","Firewall","11"
"Open terminal → login firewall → type:

df -h
","How to check disk storage usage?","Firewall","11"
"a. Go to Extension Registrations.
b. Find the extension.
c. Click the Reboot icon at the far right.
d. Wait for registration refresh.","How do I reboot the extension registration","IPBX / VoIP","1.1.7"
"Open terminal → login firewall → type:

iptables -L -n -v
","How to view all iptables rules?","Firewall","11"
"Open terminal → login firewall → type:

iptables -L | grep DROP | wc -l
","How to count blocked IPs?","Firewall","11"
"Open terminal → login firewall → type:

ping -c 4 192.168.1.1
","How to ping gateway?","Firewall","11"
"Open terminal → login firewall → type:

ping -c 4 8.8.8.8
","How to check internet ping?","Firewall","11"
"Open terminal → login firewall → type:

traceroute 8.8.8.8
","How to trace route to internet?","Firewall","11"
"Open terminal → login firewall → type:

date
","How to check system date & time?","Firewall","11"
"1.Login to the firewall admin panel.

2.Go to the Settings option.

2.Select the LAN interface.

3.Enable the DHCP server option( for office or guest network according to reequirement).

4.Enter the DHCP IP range (scope).

5.Set the default gateway (firewall LAN IP).

6.Set the DNS server.

7.Configure DHCP lease time if required.

8.Save and apply the configuration.

9.Test by renewing IP on a client device.

","How to implement DHCP in firewall","Firewall","11"
"Open terminal → login firewall → type:

ip r show table 12 && ip r show table 13
","How to check failover routing?","Firewall","11"
"Open terminal → login firewall → type:

cat /var/lib/misc/dnsmasq.leases
","How to check DHCP leases?","Firewall","11"
"a. Check if the mobile data/Wi-Fi is unstable.
b. Reopen the softphone app.
c. Reboot the extension registration.
d. remove the old caches also.","Why does my extension show Registered but unreachable","IPBX / VoIP","1.1.7"
"Open terminal → login firewall → type:

arp -a
","How to check ARP table?","Firewall","11"
"Open terminal → login firewall → type:

systemctl status openvpn
","How to check OpenVPN status?","Firewall","11"
"Open terminal → login firewall → type:

crontab -l
","How to check crontab jobs?","Firewall","11"
"Open terminal → login firewall → type:

nano /nebero/etc/extra_rules
","How to edit extra firewall rules?","Firewall","11"
"a. Check IP address in Network IP.
b. See Agent device type.
c. If multiple IPs appear, extension is reused elsewhere.","How do I check if multiple devices are using the same extension","IPBX / VoIP","1.1.7"
"a. Go to Status column.
b. Protocol appears beside registration.
c. Example: Registered(UDP).","How do I check if the extension is using UDP, TCP, or TLS","IPBX / VoIP","1.1.7"
"a. Check Ping time for high latency.
b. Confirm stable registration.
c. Test call quality.","How do I verify if extension audio issues are network-related","IPBX / VoIP","1.1.7"
"a. Check registration status.
b. Confirm reachable ping status.
c. Ensure SIP app running in foreground.","Why is extension not receiving calls","IPBX / VoIP","1.1.7"
"Open terminal
Login firewall
Type:

ip link show
","How to check if any interface is DOWN?","Firewall","11"
"Login firewall
Type:

systemctl restart network
","How to restart firewall services safely?","Firewall","11"
"1. Open terminal.
2. Login Firewall.
3. Run Cmd systemctl status dnsmasq.","How to check Dnsmasq status.","Firewall","11"
"1. Open the terminal.

2. Type the following command:    
        cat /etc/debian_version 
","How to check debian version","Firewall","11"
"1. Open terminal.
2. Login Firewall.
3. Run Cmd less /var/log/dnsmasq.log.","How to check Dnsmasq log.","Firewall","11"
"1. Open terminal.
2. Login to firewall.
3. Run:

cat /var/lib/dhcp/dhcpd.leases

or (for dnsmasq)

cat /var/lib/misc/dnsmasq.leases

4. Check output for user MAC or hostname and lease time.
5. If not present → check DHCP service and logs:

systemctl status dnsmasq
less /var/log/dnsmasq.log
","User not getting DHCP IP — how to verify?","Firewall","11"
"Minicom is used in Linux to access the backend/CLI of a device. It allows communication with devices via serial ports (like /dev/ttyS0 or /dev/ttyUSB0)

(i) To Config minicom:        minicom -s 
(ii)To open minicom:           minicom
(iii)To install minicom:        sudo apt update
                                               sudo apt install minicom

"," What Minicom Does","Firewall","11"
"1. Open terminal.
2. Login Firewall.
3. Run Cmd tail -f /var/log/dnsmasq.log.","How  to check Dnsmasq live log.","Firewall","11"
"1. Open terminal.
2. Login to firewall.
3. List NAT/forwarding rules:

iptables -t nat -L PREROUTING -n -v

4. Check if public port maps to internal IP:port. Verify counters increment when trying access.

5. If not working → ensure forwarding allowed in filter table and target service listening on internal host.","How to check if port forwarding is working?","Firewall","11"
"1. Open terminal.
2. Login to firewall.
3. Run timed DNS queries:

time dig google.com @127.0.0.1
time dig google.com @8.8.8.8

4. Compare response times; if local resolver slow, check logs and CPU usage.
5. If upstream slow → try alternate resolver or contact ISP.","How to troubleshoot slow DNS responses?","Firewall","11"
"1. Open terminal.
2. Login to firewall.
3. Run:

journalctl -f

or for syslog:

tail -f /var/log/syslog

4. Observe real-time events while reproducing the user issue.
5. Use log filters (grep) to focus on user IP/MAC.","How to view live system logs for troubleshooting?
","Firewall","11"
"1.Open the terminal.
2. Run the following command:
      grep Port /etc/ssh/sshd_config
                      or
         sudo ss -tuln | grep :22
","How to check ssh port of your system","Firewall","11"
"To change the SSH port on a Linux system, you typically need to:

 (i)   Edit the SSH configuration file.  (sudo nano /etc/ssh/sshd_config)

 (ii)   Change the port number.(Find the line that says: #Port 22, Uncomment it (remove the #) and change 22 to your desired port number)

 (ii)  Restart the SSH service.(Save and exit Ctrl+O, Enter, Ctrl+X in nano, Then restart SSH: sudo systemctl restart sshd )
","How to change ssh port on your system","Firewall","11"
"a. Navigate to Accounts → Gateways.
b. Click the Edit (pencil) icon beside the gateway.
c. Modify required fields.
d. Click Update.","How do I edit an existing GSM Gateway","IPBX / VoIP","1.1.7"
"1.Increase IP pool.

2.Remove static leases.

3.Restart DHCP.","DHCP Pool Exhausted","Firewall","11"
"a. Edit the gateway.
b. Enter the new username under Username.
c. Click Update.","How do I update the gateway username","IPBX / VoIP","1.1.7"
"a. Edit the gateway.
b. Enter IP/FQDN in Proxy.
c. Save the settings.","How do I set the SIP proxy for the GSM gateway","IPBX / VoIP","1.1.7"
"a. Edit gateway.
b. Enter value under Realm.
c. Save changes.","How do I enter realm for SIP authentication","IPBX / VoIP","1.1.7"
"a. Edit gateway.
b. Select udp, tcp, or tls from Register transport.
c. Save changes.","How do I change Register Transport (UDP/TCP/TLS)","IPBX / VoIP","1.1.7"
"a. Edit gateway.
b. In Codec prefs, click to add PCMA/PCMU/G722.
c. Click “x” to remove a codec.
d. Save.","How do I add or remove Codec Preferences","IPBX / VoIP","1.1.7"
"a. Edit gateway.
b. Under Enabled, select true or false.
c. Save.","How do I enable or disable a gateway","IPBX / VoIP","1.1.7"
"a. Confirm correct username/password.
b. Check SIP proxy and realm.
c. Ensure Register = true.
d. Click Update after fixes.","Why is my gateway not registering","IPBX / VoIP","1.1.7"
"a. Go to Accounts → Gateways.
b. Click the delete (bin) icon.
c. Confirm deletion.","How do I delete a gateway","IPBX / VoIP","1.1.7"
"a. Remove all other codecs from Codec prefs.
b. Keep only the desired codec.
c. Save.","How do I restrict gateway to specific codec","IPBX / VoIP","1.1.7"
"a. Go to Applications → Emergency Number.
b. Add emergency contacts/numbers.
c. Save.","How do I set up an Emergency Number","IPBX / VoIP","1.1.7"
"1. Open terminal.
2. Login Firewall.
3. Run Cmd less /nebero/Neberoshell/Controller/FilterLicense.class.","How to check user license.","Firewall","11"
"1. Mail Group Status
“Your mail group is active.”
This means the group email address is enabled and ready to receive emails.
2. Email Group Address

“The group email has been successfully created using the domain @su-kam.com.”
3. Group Members
Setting: All Domain Users

“All domain users are automatically added as members of this group.”
No need to add them manually. Any new user created in the domain will also be added to the group.

Setting: Selected Users

If changed to Selected, then:
“Only the users you move to the right box will be included as members of the group.”
4. Who Can Send Mail TO This Group

You have four possible settings:

a) Anyone

“Anyone on the internet can send emails to this group.”

b) All Domain Users

“Only users within your organization (same domain) can send emails to this group.”

c) All Group Members

“Only the people who are members of this group can send emails to it.”

d) Selected Users

“Only the users you manually add to the list on the right can send emails to the group.”
5. Who Can Send Emails Using the Group Address (Send as group)
a) All Group Members

“Any member of this group can use the group email address to send outgoing emails.”

b) Selected Group Members

“Only chosen members will be allowed to send emails using this group’s address.”
6. External Members

If you add external members:
“External email addresses added here will receive messages sent to the group but they cannot send emails from the group unless explicitly permitted.”
7. Member Movement UI

Double-arrow (») → Move selected users from left to right (add to group).

Single-arrow («) → Remove them from right to left (remove from group).

Search bars help filter user lists.","how to create a group and add user ?  how to select user for sending mails to the group ? ","Mail Server",""
"a. Go to the System Health / Checks section.
b. View the list of checks such as Nginx, Freeswitch, Disk Space, Database.
c. Review the Status column.
d. Confirm all items show ok.","How do I check system health status","IPBX / VoIP","1.1.7"
"1. Open Terminal.
2. Login Firewall.
3. Run Cmd systemctl list-units --type=service
","How to check all running services in Firewall.","Firewall","11"
"a. Click the Date Range input.
b. Select start and end date/time.
c. Click Search.
d. The list will refresh according to the selected period.","How do I filter health checks by date range","IPBX / VoIP","1.1.7"
"Your mailbox size is controlled by the storage policy assigned to your account (e.g., 5GB or 15GB).
To increase your mailbox storage, the administrator needs to:

Open the Mail Users page

Select your user account

Change the assigned policy to a higher storage plan

Save the changes","How do I increase my mailbox storage?","Mail Server",""
"a. Open the Status dropdown.
b. Select the status (e.g., ok, fail, warning).
c. Click Search.
d. Only matching entries will appear.","How do I filter checks by status (OK/Warning/Error)","IPBX / VoIP","1.1.7"
"a. Apply filters if needed.
b. Click the CSV button.
c. The system generates and downloads a CSV file.
d. Open the file to view the report.","How do I export system health data to CSV","IPBX / VoIP","1.1.7"
"a. Click the Excel button.
b. Save the downloaded .xlsx file.
c. Open it using Excel or Sheets.
d. Review the data.","How do I export system checks to Excel","IPBX / VoIP","1.1.7"
"The percentage you see indicates how much of your assigned storage quota you have used.

Example:

71% → Your mailbox is nearing its storage limit

53% → Your mailbox is using more than half but still within safe range

When usage reaches 90% or higher, sending or receiving emails may be blocked.
You can free space by deleting old emails, emptying the trash, or archiving messages.","Why is my mailbox showing 71% / 53% usage?","Mail Server","3.9.0"
"a. Use the Search bar under the refresh icon.
b. Type any keyword (e.g., disk, nginx).
c. Press Enter.
d. View filtered results.","How do I search for a specific system check","IPBX / VoIP","1.1.7"
"a. Locate the Nginx row.
b. Check if Status = ok.
c. Confirm no error in Notification Message.
d. If ok, Nginx is healthy.","How do I verify Nginx is running properly","IPBX / VoIP","1.1.7"
"a. Scroll to the Freeswitch entry.
b. Verify Status column shows ok.
c. Ensure no warnings.
d. If any error appears, investigate FS service logs.","How do I check Freeswitch status","IPBX / VoIP","1.1.7"
"1. Open Terminal.
2. Login Firewall.
3. Run Cmd  speedtest.","How to check isp speed.","Firewall","11"
"a. Find Used Disk Space row.
b. Verify Status = ok.
c. Click the info icon for disk usage breakdown.
d. Take action if disk is near full.","How do I check if disk usage is normal","IPBX / VoIP","1.1.7"
"Possible reasons:

Your mailbox quota is full

Your sending/receiving permission is disabled

Forwarding is set to another mailbox

Your delivery is set incorrectly

Contact support to verify these settings.","Why am I not receiving emails?","Mail Server","3.9.0"
"a. Use the Status filter.
b. Select fail.
c. Click Search.
d. All failed checks will display.","How do I find failed system checks","IPBX / VoIP","1.1.7"
"Computer is not receiving an IP from DHCP server.

Steps:-

Check LAN cable or Wi-Fi connection.

Verify switch port LED is on.

Disable and enable network adapter.

Run ipconfig /release and ipconfig /renew.

Ensure DHCP Client service is running.

Check ipconfig /all for IP assignment.

Temporarily disable firewall/antivirus.

Try another switch port or LAN cable.

Assign temporary static IP for testing.

Ping gateway to verify connectivity.

Check VLAN assignment (if applicable).

Restart PC and retry IP assignment.

Restart DHCP server/router if accessible.

Verify DHCP pool has free IPs.

Escalate to network admin if unresolved.","IP Not Getting from DHCP
","Firewall","11"
"All incoming emails are delivered normally to your mailbox inbox.

If it says Forward Only, messages go only to the forwarding address and not your inbox.","what does “Delivery: Inbox” mean?

","Mail Server","3.9.0"
"a. Click Check Label header.
b. Sort ascending/descending.
c. Review reordered list.
d. Repeat for other columns if needed.","How do I sort checks alphabetically","IPBX / VoIP","1.1.7"
"This means:

You can connect to Outlook, Thunderbird, Mobile apps, etc.

You can download and sync your emails using IMAP or POP3

If it was No, those services would be blocked.","Why is IMAP/POP3 shown as ‘Yes’?","Mail Server","3.9.0"
"a. Click the X icon beside Status or Check Label.
b. Clear Date Range manually.
c. Press Search.
d. Default list will load.","How do I reset filters","IPBX / VoIP","1.1.7"
"Your Out-of-Office (Automatic reply) is turned off.
If you want it enabled, IT must activate and configure it.","What does Autoresponse = Disabled mean?","Firewall","3.9.0"
"1. Open Terminal.
2. Login Firewall.
3. Run Cmd   less /var/log/suricata.","How to check suricata log.","Firewall","11"
"a. Click CSV or Excel export.
b. Save file.
c. Open for detailed history.
d. Use filters before export for refined results.","How do I download all system check logs","IPBX / VoIP","1.1.7"
"It shows the last successful login into your mailbox via:

Webmail

Mobile App

Outlook/IMAP login

If the date is old, it means the user hasn’t logged in for a long time.","What does the “Last Login” date mean?","Mail Server",""
"'- Power	Enable/Disable the user account
- Reset	Reset the mailbox password
- Login	Admin login into the user mailbox
- Lock	Security controls (password, MFA)
- Pencil	Edit user details
- Delete	Delete the mailbox","What do the icons mean?","Mail Server","3.9.0"
"These are auto-generated profile initials representing:

A Sn → AS

Aarkay Electronics → AE

They help quickly identify users visually.","Why do I see initials like AS, AE before the name?","Mail Server","3.9.0"
"1. Open Terminal.
2. Login Firewall.
3. Run Cmd  tail -f /nebero/logs/filter.log.","How to check Firewall filter log.","Firewall","11"
"The mailbox has been deleted by the admin and is now in the Deleted Users section.
It remains recoverable for a limited time.

 if you click the red delete icon This will permanently delete the mailbox immediately.
After this, recovery is not possible.


","Why is my user listed under “Deleted”?
What happens if I click the red delete icon
","Mail Server","3.9.0"
"1. Open Terminal.
2. Login Firewall.
3. Run Cmd   less /var/log/isp_status.log","How to check ISP up and down status.","Firewall","11"
"a. Factory reset the phone
b. Add the MAC address via + Add New
c. Select correct model and assign extension
d. Phone will auto-download config on boot","How do I auto-provision a new Grandstream phone","IPBX / VoIP","1.1.7"
"Gateway Ping Not Working 

1. Check IP Configuration
   - Command: ipconfig
   - Verify IP address, Subnet Mask, and Default Gateway

2. Ping Your Own IP
   - Command: ping <your-IP>
   - If fails → check network adapter

3. Ping Loopback Address
   - Command: ping 127.0.0.1
   - If fails → TCP/IP stack or network adapter issue

4. Ping Gateway
   - Command: ping <gateway-IP>
   - If fails → check IP/subnet, router/gateway, cables/Wi-Fi

5. Check Network Adapter Status
   - Command: ipconfig /all
   - Ensure Media State: ""Enabled""
   - Enable adapter if disabled:
       - netsh interface set interface ""Ethernet"" enabled

6. Check ARP Table
   - Command: arp -a
   - Missing gateway MAC → connectivity issue

7. Disable Firewall/Antivirus Temporarily
   - Check if ping works with firewall off
   - Ensure ICMP (ping) is allowed

8. Test From Another Device
   - If other PC can ping → issue with your PC
   - If not → issue with router/gateway

9. Restart Devices
   - Restart PC and Router
   - Check connection again

10. Check Routing Table
    - Command: route print
    - Ensure default gateway route exists
","Gateway Ping Not Working - Windows Troubleshooting Steps
","Firewall","11"
"Yes, if it is still within the recovery window.

Click the restore icon (↺) in the “Actions” column","Can I restore a deleted mailbox?","Mail Server","3.9.0"
"This section allows administrators to monitor a mailbox’s incoming/outgoing emails or forward them automatically to another address.
It is used for compliance, auditing, or backup requirements.","What is the Monitor / Forward feature?","Mail Server","3.9.0"
"This means all incoming emails sent to the user are being copied/monitored and delivered to the email shown under Incoming To.

Example:
accounts.bbl@kam.com → rahul.bhatti@kam.com","Monitor / Forward Interface
What does “Incoming Monitoring – Yes” mean?","Mail Server","3.9.0"
"Yes → A copy of all sent/outgoing emails from this user is delivered to the email shown under Outgoing To.

No → Outgoing emails are not monitored for this user.","Monitor / Forward Interface
What does “Outgoing Monitoring – Yes/No” mean?","Mail Server","3.9.0"
"It shows the type of item being monitored.
In this interface, the type is shown as User (meaning a mailbox/user account).","Monitor / Forward Interface
What is the “Monitor Type”?","Mail Server","3.9.0"
"Set Static IP in Windows - Quick Steps

1. Open Network Settings
   - Press: Win + R
   - Type: ncpa.cpl
   - Press Enter

2. Open Adapter Properties
   - Right-click your adapter (Ethernet/Wi-Fi)
   - Click: Properties

3. Select IPv4 Settings
   - Double-click: Internet Protocol Version 4 (TCP/IPv4)

4. Set Static IP
   - Select: ""Use the following IP address""
   - Enter:
       IP Address: <your-static-IP>
       Subnet Mask: <your-mask>
       Default Gateway: <gateway-IP>

5. Set DNS Servers
   - Select: ""Use the following DNS server addresses""
   - Enter:
       Preferred DNS: 8.8.8.8
       Alternate DNS: 8.8.4.4
     (or your company DNS)

6. Apply Settings
   - Click OK → Close → Restart adapter

7. Verify Static IP
   - Command: ipconfig
   - Check IPv4 Address, Mask, Gateway

8. Test Connectivity
   - Ping gateway: ping <gateway-IP>
   - Ping internet: ping 8.8.8.8
   - DNS test: ping google.com
","How to Set Static IP in Windows ","Firewall","11"
"a. Click in the Search bar above the list
b. Type MAC, label, extension, or IP
c. Press Enter","How do I search for a specific phone or extension","IPBX / VoIP","1.1.7"
